Month,Department,Complaint Type,Location Type,Zipcode,Borough
January,Bronx 10,Snow,Street,10465,BRONX
January,Department of Health and Mental Hygiene,Indoor Sewage,3+ Family Apt. Building,11413,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10471,BRONX
January,BCC - Bronx,Sanitation Condition,Sidewalk,10458,BRONX
January,Department of Transportation,Sidewalk Condition,Sidewalk,10025,MANHATTAN
January,BCC - Queens East,Snow,Street,11367,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11204,BROOKLYN
January,Economic Development Corporation,Noise - Helicopter,Above Address,10037,MANHATTAN
January,BCC - Queens East,Snow,Street,11367,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10013,MANHATTAN
January,DOB Inspections - Queens,Construction,Street Address,11361,QUEENS
January,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,11004,QUEENS
January,Manhattan 08,Missed Collection (All Materials),Sidewalk,10065,MANHATTAN
January,A - Manhattan,Other Enforcement,Sidewalk,10027,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10007,MANHATTAN
January,DOB Inspections - Queens,Construction,Street Address,11355,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11375,QUEENS
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,10025,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10013,MANHATTAN
January,Department of Transportation,Street Condition,Street,11207,BROOKLYN
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11223,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10007,MANHATTAN
January,Department of Transportation,Street Sign - Damaged,Street,11201,BROOKLYN
January,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,11354,QUEENS
January,Manhattan 03,Sanitation Condition,Sidewalk,10009,MANHATTAN
January,A - Staten Island,Dirty Conditions,Lot,10301,STATEN ISLAND
January,Economic Development Corporation,Noise - Helicopter,Above Address,10036,MANHATTAN
January,Brooklyn North 03,Missed Collection (All Materials),Sidewalk,11206,BROOKLYN
January,Economic Development Corporation,Noise - Helicopter,Above Address,10032,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10001,MANHATTAN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11206,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10001,MANHATTAN
January,A - Brooklyn,Other Enforcement,Sidewalk,11204,BROOKLYN
January,A - Bronx,Dirty Conditions,Sidewalk,10468,BRONX
January,Department of Transportation,Highway Condition,Highway,11211,BROOKLYN
January,A - Queens,Dirty Conditions,Street,11416,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10075,MANHATTAN
January,A - Queens,Dirty Conditions,Sidewalk,11421,QUEENS
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,BCC - Queens West,Missed Collection (All Materials),Sidewalk,11385,QUEENS
January,New York City Police Department,Noise - Commercial,Store/Commercial,11206,BROOKLYN
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Taxi and Limousine Commission,Taxi Complaint,Street,10010,MANHATTAN
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11215,BROOKLYN
January,Queens East 10,Other Enforcement,Sidewalk,11417,QUEENS
January,A - Queens,Dirty Conditions,Lot,11421,QUEENS
January,BCC - Bronx,Missed Collection (All Materials),Sidewalk,10469,BRONX
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,BCC - Bronx,Missed Collection (All Materials),Sidewalk,10470,BRONX
January,Department of Parks and Recreation,Overgrown Tree/Branches,Street,11364,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Health and Mental Hygiene,Indoor Sewage,3+ Family Mixed Use Building,10451,BRONX
January,Queens East 10,Other Enforcement,Sidewalk,11417,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,Department of Transportation,Curb Condition,Curb,11385,QUEENS
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11361,QUEENS
January,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10014,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11204,BROOKLYN
January,Taxi and Limousine Commission,Taxi Complaint,Street,10459,BRONX
January,Department of Transportation,Broken Muni Meter,Street,10028,MANHATTAN
January,Department of Parks and Recreation,Dead Tree,Street,10306,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10019,MANHATTAN
January,Queens East 12,Sanitation Condition,Sidewalk,11412,QUEENS
January,Taxi and Limousine Commission,Taxi Complaint,Street,10469,BRONX
January,Department of Transportation,Broken Muni Meter,Street,10028,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11103,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11355,QUEENS
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11432,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11365,QUEENS
January,Taxi and Limousine Commission,For Hire Vehicle Complaint,Street,10069,MANHATTAN
January,BCC - Brooklyn South,Missed Collection (All Materials),Sidewalk,11228,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,11432,QUEENS
January,BCC - Brooklyn South,Missed Collection (All Materials),Sidewalk,11231,BROOKLYN
January,BCC - Staten Island,Missed Collection (All Materials),Sidewalk,10314,STATEN ISLAND
January,BCC - Brooklyn North,Sweeping/Missed,Sidewalk,11208,BROOKLYN
January,BCC - Queens West,Sanitation Condition,Sidewalk,11105,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10021,MANHATTAN
January,Manhattan 05,Other Enforcement,Sidewalk,10001,MANHATTAN
January,Manhattan 04,Missed Collection (All Materials),Sidewalk,10011,MANHATTAN
January,Department of Transportation,Street Condition,Street,10033,MANHATTAN
January,Department of Parks and Recreation,Dead Tree,Street,11429,QUEENS
January,Manhattan 06,Litter Basket / Request,Sidewalk,10010,MANHATTAN
January,BCC - Bronx,Sweeping/Missed,Sidewalk,10466,BRONX
January,Department of Transportation,Street Condition,Street,11235,BROOKLYN
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,DOB Inspections - Queens,Construction,Street Address,11365,QUEENS
January,Department of Transportation,Street Condition,Street,10310,STATEN ISLAND
January,Taxi and Limousine Commission,Taxi Complaint,Street,10025,MANHATTAN
January,A - Manhattan,Dirty Conditions,Sidewalk,10037,MANHATTAN
January,Bronx 03,Sanitation Condition,Street,10459,BRONX
January,BCC - Brooklyn South,Missed Collection (All Materials),Sidewalk,11234,BROOKLYN
January,Manhattan 06,Sanitation Condition,Street,10022,MANHATTAN
January,BCC - Manhattan,Sanitation Condition,Street,10037,MANHATTAN
January,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10013,MANHATTAN
January,BCC - Brooklyn North,Sanitation Condition,Street,11207,BROOKLYN
January,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,11001,QUEENS
January,A - Manhattan,Dirty Conditions,Sidewalk,10003,MANHATTAN
January,Department of Transportation,Street Condition,Street,11228,BROOKLYN
January,BCC - Bronx,Sanitation Condition,Sidewalk,10467,BRONX
January,DOB Inspections - Queens,Construction,Street Address,11365,QUEENS
January,BCC - Staten Island,Sanitation Condition,Sidewalk,10304,STATEN ISLAND
January,Department of Transportation,Street Condition,Street,11379,QUEENS
January,Department of Transportation,Street Condition,Street,10309,STATEN ISLAND
January,Department of Transportation,Street Condition,Street,10002,MANHATTAN
January,Department of Transportation,Street Condition,Street,11204,BROOKLYN
January,Department of Transportation,Street Condition,Street,11204,BROOKLYN
January,Department of Transportation,Street Condition,Street,11204,BROOKLYN
January,Department of Transportation,Street Condition,Street,10025,MANHATTAN
January,Manhattan 07,Missed Collection (All Materials),Sidewalk,10025,MANHATTAN
January,DOB Inspections - Queens,Construction,Street Address,11361,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10038,MANHATTAN
January,Personal Exemption Unit,DOF Parking - Tax Exemption,Address,10069,MANHATTAN
January,Department of Transportation,Street Condition,Street,11238,BROOKLYN
January,DOB Inspections - Queens,Construction,Street Address,11361,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11370,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11229,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10019,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10013,MANHATTAN
January,DOB Inspections - Queens,Construction,Street Address,11361,QUEENS
January,Department of Health and Mental Hygiene,Drinking Water,3+ Family Apartment Building,11423,QUEENS
January,Bronx 04,Sanitation Condition,Street,10451,BRONX
January,A - Bronx,Dirty Conditions,Sidewalk,10469,BRONX
January,Department of Parks and Recreation,Damaged Tree,Street,11201,BROOKLYN
January,Department of Transportation,Highway Condition,Highway,11222,BROOKLYN
January,Department of Transportation,Street Condition,Street,11236,BROOKLYN
January,A - Manhattan,Dirty Conditions,Sidewalk,10021,MANHATTAN
January,BCC - Bronx,Missed Collection (All Materials),Sidewalk,10460,BRONX
January,Department of Transportation,Broken Muni Meter,Street,10002,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10023,MANHATTAN
January,A - Illegal Posting Manhattan and Bronx,Dirty Conditions,Sidewalk,10021,MANHATTAN
January,Bureau of Fire Prevention - Alarm Unit - Inspections,Fire Alarm - New System,Street Address,10461,BRONX
January,Department of Transportation,Broken Muni Meter,Street,11432,QUEENS
January,Department of Transportation,Broken Muni Meter,Lot,11354,QUEENS
January,Department of Parks and Recreation,Dead Tree,Street,11234,BROOKLYN
January,Department of Parks and Recreation,Dead Tree,Street,11357,QUEENS
January,A - Queens,Dirty Conditions,Sidewalk,11105,QUEENS
January,Bureau of Fire Prevention - Alarm Unit - Inspections,Fire Alarm - New System,Street Address,10461,BRONX
January,BCC - Staten Island,Snow,Street,10312,STATEN ISLAND
January,Department of Parks and Recreation,Illegal Tree Damage,Street,11220,BROOKLYN
January,Department of Parks and Recreation,Overgrown Tree/Branches,Street,10471,BRONX
January,BCC - Staten Island,Snow,Street,10306,STATEN ISLAND
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11356,QUEENS
January,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10018,MANHATTAN
January,Department of Transportation,Street Condition,Street,10024,MANHATTAN
January,BCC - Brooklyn South,Missed Collection (All Materials),Sidewalk,11228,BROOKLYN
January,Taxi and Limousine Commission,Taxi Complaint,Street,11226,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10001,MANHATTAN
January,Brooklyn South 10,Missed Collection (All Materials),Sidewalk,11228,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10029,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10007,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11230,BROOKLYN
January,DOB Inspections - Queens,Construction,Street Address,11435,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11229,BROOKLYN
January,BCC - Brooklyn South,Sweeping/Missed-Inadequate,Sidewalk,11214,BROOKLYN
January,DOB Inspections - Queens,Construction,Street Address,11417,QUEENS
January,Department of Transportation,Street Condition,Street,10307,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10002,MANHATTAN
January,Department of Parks and Recreation,Dead Tree,Street,10302,STATEN ISLAND
January,BCC - Brooklyn South,Other Enforcement,Sidewalk,11214,BROOKLYN
January,Brooklyn South 10,Missed Collection (All Materials),Sidewalk,11209,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,11357,QUEENS
January,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,11413,QUEENS
January,Bureau of Fire Prevention - Highrise Unit - Inspections,EAP Inspection - F59,Street Address,10016,MANHATTAN
January,BCC - Bronx,Snow,Street,10469,BRONX
January,Department of Transportation,Broken Muni Meter,Street,10023,MANHATTAN
January,Bureau of Fire Prevention - Highrise Unit - Inspections,EAP Inspection - F59,Street Address,11201,BROOKLYN
January,BCC - Queens East,Sanitation Condition,Sidewalk,11365,QUEENS
January,Queens East 12,Missed Collection (All Materials),Sidewalk,11423,QUEENS
January,Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,10025,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11432,QUEENS
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11363,QUEENS
January,BCC - Brooklyn South,Sanitation Condition,Sidewalk,11230,BROOKLYN
January,Department of Transportation,Street Sign - Damaged,Street,11378,QUEENS
January,BCC - Staten Island,Missed Collection (All Materials),Sidewalk,10301,STATEN ISLAND
January,Brooklyn North 03,Sanitation Condition,Street,11205,BROOKLYN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,10467,BRONX
January,Queens West 03,Missed Collection (All Materials),Sidewalk,11370,QUEENS
January,Department of Transportation,Street Condition,Street,11220,BROOKLYN
January,BCC - Brooklyn North,Sanitation Condition,Street,11225,BROOKLYN
January,BCC - Staten Island,Missed Collection (All Materials),Sidewalk,10301,STATEN ISLAND
January,Department of Transportation,Street Condition,Street,10306,STATEN ISLAND
January,A - Manhattan,Dirty Conditions,Sidewalk,10022,MANHATTAN
January,Queens East 12,Sanitation Condition,Street,11423,QUEENS
January,BCC - Brooklyn North,Other Enforcement,Sidewalk,11217,BROOKLYN
January,A - Manhattan,Snow,Sidewalk,10034,MANHATTAN
January,Department of Health and Mental Hygiene,Indoor Sewage,1-2 Family Dwelling,11234,BROOKLYN
January,Department of Parks and Recreation,Damaged Tree,Street,11210,BROOKLYN
January,Bronx 08,Sanitation Condition,Sidewalk,10471,BRONX
January,Personal Exemption Unit,DOF Parking - Tax Exemption,Address,10023,MANHATTAN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,11209,BROOKLYN
January,Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,10452,BRONX
January,Department of Transportation,Street Condition,Street,11220,BROOKLYN
January,Department of Transportation,Street Condition,Street,11691,QUEENS
January,Department of Transportation,Street Sign - Dangling,Street,11693,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11354,QUEENS
January,A - Manhattan,Dirty Conditions,Sidewalk,10012,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11101,QUEENS
January,School - PS 36 Saint Albans School,School Maintenance,School,11412,QUEENS
January,BCC - Bronx,Missed Collection (All Materials),Sidewalk,10469,BRONX
January,Department of Parks and Recreation,Damaged Tree,Street,11378,QUEENS
January,Department of Transportation,Street Condition,Street,11211,BROOKLYN
January,Manhattan 05,Missed Collection (All Materials),Sidewalk,10003,MANHATTAN
January,Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,10019,MANHATTAN
January,Department of Parks and Recreation,Damaged Tree,Street,11105,QUEENS
January,A - Brooklyn,Dirty Conditions,Sidewalk,11217,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10013,MANHATTAN
January,Department of Transportation,Street Condition,Street,11217,BROOKLYN
January,Personal Exemption Unit,DOF Parking - Tax Exemption,Address,10009,MANHATTAN
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11432,QUEENS
January,BCC - Staten Island,Missed Collection (All Materials),Sidewalk,10303,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10024,MANHATTAN
January,BCC - Bronx,Sweeping/Missed-Inadequate,Sidewalk,10472,BRONX
January,Department of Parks and Recreation,Damaged Tree,Street,11234,BROOKLYN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,11215,BROOKLYN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,11368,QUEENS
January,Economic Development Corporation,Noise - Helicopter,Above Address,10037,MANHATTAN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,10025,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11201,BROOKLYN
January,Taxi and Limousine Commission,Taxi Complaint,Street,11430,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11432,QUEENS
January,Department of Parks and Recreation,Maintenance or Facility,Park,10003,MANHATTAN
January,Department of Health and Mental Hygiene,Indoor Air Quality,1-2 Family Mixed Use Building,10009,MANHATTAN
January,Department of Transportation,Sidewalk Condition,Sidewalk,11233,BROOKLYN
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11432,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11432,QUEENS
January,BCC - Staten Island,Missed Collection (All Materials),Sidewalk,10303,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10030,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10456,BRONX
January,BCC - Brooklyn South,Sweeping/Missed-Inadequate,Sidewalk,11215,BROOKLYN
January,Queens West 03,Missed Collection (All Materials),Sidewalk,11368,QUEENS
January,BCC - Brooklyn South,Missed Collection (All Materials),Sidewalk,11214,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10003,MANHATTAN
January,BCC - Queens West,Sanitation Condition,Street,11106,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11223,BROOKLYN
January,Department of Parks and Recreation,Overgrown Tree/Branches,Street,11414,QUEENS
January,Taxi and Limousine Commission,For Hire Vehicle Complaint,Street,11413,QUEENS
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,Department of Transportation,Street Condition,Street,10036,MANHATTAN
January,BCC - Brooklyn North,Missed Collection (All Materials),Sidewalk,11207,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10128,MANHATTAN
January,Queens West 04,Derelict Bicycle,Street,11368,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11102,QUEENS
January,BCC - Bronx,Sweeping/Missed-Inadequate,Sidewalk,10472,BRONX
January,Department of Transportation,Street Condition,Street,11004,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11694,QUEENS
January,BCC - Brooklyn North,Sanitation Condition,Street,11206,BROOKLYN
January,Taxi and Limousine Commission,Taxi Complaint,Street,10001,MANHATTAN
January,BCC - Brooklyn North,Missed Collection (All Materials),Sidewalk,11208,BROOKLYN
January,Department of Transportation,Street Condition,Street,11217,BROOKLYN
January,BCC - Queens West,Missed Collection (All Materials),Sidewalk,11415,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10022,MANHATTAN
January,DOB Inspections - Queens,Construction,Street Address,11369,QUEENS
January,DOB Inspections - Queens,Construction,Street Address,11369,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11223,BROOKLYN
January,BCC - Staten Island,Snow,Street,10314,STATEN ISLAND
